File,Field,OutputField,Description
Parcels,geometry,geometry,"this is the polygon in the GeoJSON file"
Parcels,PROP_ID,PROP_ID,"this key is useful for looking up appraisal information"
Parcels,situs_address,situs_address,"the address as a single string"
Parcels,tcad_acres,tcad_acres,"size in acres"
Parcels,LatitudeDecimalDegrees,LatitudeDecimalDegrees,
Parcels,LongitudeDecimalDegrees,LongitudeDecimalDegrees,
Parcels,hyperlink,hyperlink,
Parcels,LatitudeFeetUS,,
Parcels,LongitudeFeetUS,,
Parcels,situs_num,,
Parcels,situs_street_prefx,,
Parcels,situs_street,,
Parcels,situs_street_suffix,,
Parcels,situs_city,,
Parcels,situs_zip,,
Parcels,sub_dec,,"It has values like 'SINGLE FAMILY RESIDENCE' 'VACANT LOT' and 'CONDOS'."
Parcels,entities,,"There is an appraisal file named 'ENTITY.TXT'."
Parcels,geo_id,,"It has values like '174230307' and '174230306'"
Parcels,legal_desc,,"It has values like 'LOT 2 BLK Q VILLAGE TWENTY AT ANDERSON MILL PHS 2'"
Parcels,SHAPE.STArea(),,
Parcels,SHAPE.STLength(),,
,,,
Zoning,ZONING_BASE,ZONING_BASE,"Zoning base type like 'SF'"
Zoning,ZONING_ZTYPE,ZONING_ZTYPE,"Exact zoning like 'I-SF-2' or 'SF-2-CO'"
Zoning,ZONING_ID,,
Zoning,CREATED_DATE,,
Zoning,CREATED_BY,,
Zoning,MODIFIED_DATE,,
Zoning,MODIFIED_BY,,
Zoning,Shape__Area,,
Zoning,Shape__Length,,
,,,
PROP.TXT,prop_id,prop_id,"Property ID"
PROP.TXT,prop_type_cd,prop_type_cd,"Property Type Code: R = Real, P = Business Personal Property, M = Mobile Home, MN = Mineral,A = Automobiles"
PROP.TXT,prop_val_yr,,"Appraisal or Tax Year"
PROP.TXT,sup_num,,"Supplement Version Number - 0 = represents certified data, supplemental data otherwise"
PROP.TXT,sup_action,,"Supplemental Action - If sup_num > 0, indicates the action to be taken on the property:'A' - Add, 'M' - Modify, 'D' - Delete"
PROP.TXT,sup_cd,,"Supplement Change Code - User defined"
PROP.TXT,sup_desc,,"Supplement Change Description"
PROP.TXT,geo_id,,"Geographic ID"
PROP.TXT,py_owner_id,,"Property Year Owner ID – TP Internal ID"
PROP.TXT,py_owner_name,,"Property Year Owner Name"
PROP.TXT,partial_owner,,"Partial Owner ('T' or 'F')  This indicates if there are other owners for this property.  The additional owners will appear as separate records in this layout."
PROP.TXT,udi_group,,"This field indicates the UDI group that a partial owner is part of.  This is used to group multi owner properties."
PROP.TXT,filler,,"Not In Use"
PROP.TXT,py_addr_line1,,"Property Year Owner Address Line 1"
PROP.TXT,py_addr_line2,,"Property Year Owner Address Line 2"
PROP.TXT,py_addr_line3,,"Property Year Owner Address Line 3"
PROP.TXT,py_addr_city,,"Property Year Owner Address City"
PROP.TXT,py_addr_state,,"Property Year Owner Address State"
PROP.TXT,py_addr_country,,"Property Year Owner Address Country"
PROP.TXT,py_addr_zip,,"Property Year Owner Address Zip (Zip Only)"
PROP.TXT,py_addr_zip_cass,,"Property Year Owner Address Zip Cass (Cass Only)"
PROP.TXT,py_addr_zip_rt,,"Property Year Owner Address Zip Route (Route Only)"
PROP.TXT,py_confidential_flag,,"Property Year Owner Confidential Flag ('T' or 'F')"
PROP.TXT,py_address_suppress_flag,,"Property Year Owner 
Address Suppression Flag ('T' or 'F')"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,py_addr_ml_deliverable,,"Property Year Owner Address Y = deliverable address N = undeliverable address"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,situs_street_prefx,situs_street_prefx,"Situs/Location Street Prefix"
PROP.TXT,situs_street,situs_street,"Situs/Location Street"
PROP.TXT,situs_street_suffix,situs_street_suffix,"Situs/Location Street Suffix"
PROP.TXT,situs_city,situs_city,"Situs/Location City"
PROP.TXT,situs_zip,situs_zip,"Situs/Location Zip"
PROP.TXT,legal_desc,,"Legal Description"
PROP.TXT,legal_desc2,,"Additional Legal Description"
PROP.TXT,legal_acreage,legal_acreage,"Legal Acreage (4 Decimals)"
PROP.TXT,abs_subdv_cd,,"Abstract/Subdivision code"
PROP.TXT,hood_cd,,"Neighborhood code"
PROP.TXT,block,,Block
PROP.TXT,tract_or_lot,,Tract/lot
PROP.TXT,land_hstd_val,land_hstd_val,"Land Homestead Value"
PROP.TXT,land_non_hstd_val,land_non_hstd_val,"Land Non-Homestead Value"
PROP.TXT,imprv_hstd_val,imprv_hstd_val,"Improvement Homestead Value"
PROP.TXT,imprv_non_hstd_val,imprv_non_hstd_val,"Improvement Non-Homestead value"
PROP.TXT,ag_use_val,,"Agriculture Use Value"
PROP.TXT,ag_market,,"Agriculture Market Value"
PROP.TXT,timber_use,,"Timber Use Value"
PROP.TXT,timber_market,,"Timber Market Value"
PROP.TXT,appraised_val,appraised_val,"Appraised Value"
PROP.TXT,ten_percent_cap,ten_percent_cap,"Ten Percent Homestead Cap Adjustment"
PROP.TXT,assessed_val,assessed_val,"Assessed Value (Appraised - Cap)"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,arb_protest_flag,,"ARB Protest Flag; indicates if a protest has been filed on behalf of this property.  (T / F)"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,deed_book_id,,"Deed Book ID"
PROP.TXT,deed_book_page,,"Deed Book Page"
PROP.TXT,deed_dt,,"Deed Date"
PROP.TXT,mortgage_co_id,,"Mortgage Company ID"
PROP.TXT,mortage_co_name,,"Name of Mortgage Company"
PROP.TXT,mortgage_acct_id,,"Mortgage Loan Number"
