DATE,"New York",Philadelphia,Boston,Chicago,Detroit,"St. Louis",Minneapolis,Washingon+Baltimore,Dallas+FortWorth,Houston,Atlanta,Miami,"Los Angeles+Riverside","San Francisco+Oakland",Seattle,"San Diego",Denver
1914/12/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/01/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/02/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/03/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/04/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/05/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/06/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/07/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/08/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/09/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/10/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/11/01,18.9,21.2,16.2,18.5,19.2,,,,,25.5,,,17.6,16.1,16.3,,
1915/12/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/01/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/02/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/03/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/04/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/05/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/06/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
1916/07/01,18.9,21.1,16.2,18.5,19.6,,,,,24.9,,,17.1,16,15.9,,
