hud_area_code,hud_areaname,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4
METRO10180M10180,"Abilene, TX MSA",760,808,1044,1412,1711
METRO10380M10380,"Aguadilla-Isabela, PR MSA",405,444,512,630,714
METRO10420M10420,"Akron, OH MSA",762,867,1100,1389,1478
METRO10500M10500,"Albany, GA MSA",787,800,942,1234,1501
METRO10540M10540,"Albany, OR MSA",948,1062,1342,1836,2146
METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",1045,1166,1418,1726,1905
METRO10740M10740,"Albuquerque, NM MSA",822,1012,1229,1747,2093
METRO10780M10780,"Alexandria, LA MSA",629,714,940,1274,1367
METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1042,1188,1505,1929,2022
METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",1227,1358,1638,2031,2343
METRO11020M11020,"Altoona, PA MSA",657,810,983,1196,1333
METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",729,847,1058,1439,1679
METRO11100N48359,"Oldham County, TX HUD Metro FMR Area",722,839,1048,1275,1662
METRO11180M11180,"Ames, IA HUD Metro FMR Area",849,914,1041,1479,1773
METRO11180M19015,"Boone County, IA HUD Metro FMR Area",628,699,920,1298,1437
METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",995,1096,1443,2051,2458
METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",875,932,1227,1744,2090
METRO11460M11460,"Ann Arbor, MI MSA",1239,1244,1494,1818,2079
METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",643,647,852,1156,1252
METRO11540M11540,"Appleton, WI MSA",727,797,1012,1355,1360
METRO11640M11640,"Arecibo, PR MSA",443,453,512,659,733
METRO11700M11700,"Asheville, NC HUD Metro FMR Area",1331,1361,1537,2044,2618
METRO11700N37087,"Haywood County, NC HUD Metro FMR Area",750,976,1102,1341,1586
METRO12020M12020,"Athens-Clarke County, GA MSA",890,946,1073,1439,1636
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1457,1489,1682,2047,2500
METRO12060N13035,"Butts County, GA HUD Metro FMR Area",858,863,1129,1479,1672
METRO12060N13143,"Haralson County, GA HUD Metro FMR Area",793,798,965,1371,1644
METRO12060N13171,"Lamar County, GA HUD Metro FMR Area",749,754,992,1312,1333
METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",801,806,1061,1376,1462
METRO12060N13211,"Morgan County, GA HUD Metro FMR Area",835,841,1107,1364,1886
METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",1158,1347,1696,2399,2620
METRO12220M12220,"Auburn-Opelika, AL MSA",764,821,1051,1406,1476
METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",807,958,1095,1474,1803
METRO12260N13181,"Lincoln County, GA HUD Metro FMR Area",657,780,889,1190,1194
METRO12420M12420,"Austin-Round Rock, TX MSA",1341,1483,1740,2235,2585
METRO12540M12540,"Bakersfield, CA MSA",921,927,1213,1724,2066
METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",1173,1359,1678,2177,2491
METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",844,954,1226,1544,1758
METRO12620N23019,"Penobscot County, ME (part) HUD Metro FMR Area",773,804,1058,1328,1421
METRO12700M12700,"Barnstable Town, MA MSA",1492,1655,2178,2665,2963
METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",922,939,1078,1358,1763
METRO12940M22007,"Assumption Parish, LA HUD Metro FMR Area",753,776,877,1216,1433
METRO12940N22047,"Iberville Parish, LA HUD Metro FMR Area",726,748,845,1201,1381
METRO12980M12980,"Battle Creek, MI MSA",756,845,1039,1328,1515
METRO13020M13020,"Bay City, MI MSA",693,755,965,1267,1398
METRO13140M13140,"Beaumont-Port Arthur, TX MSA",837,898,1086,1420,1483
METRO13220N54019,"Fayette County, WV HUD Metro FMR Area",588,665,852,1146,1414
METRO13220N54081,"Raleigh County, WV HUD Metro FMR Area",709,713,881,1252,1437
METRO13380M13380,"Bellingham, WA MSA",1104,1169,1439,2045,2451
METRO13460M13460,"Bend-Redmond, OR MSA",1075,1274,1605,2281,2734
METRO13740M13740,"Billings, MT HUD Metro FMR Area",796,855,1126,1546,1757
METRO13740M30095,"Stillwater County, MT HUD Metro FMR Area",738,801,1055,1481,1797
METRO13780M13780,"Binghamton, NY MSA",772,807,1026,1342,1454
METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",949,1032,1178,1508,1637
METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",679,697,830,1139,1143
METRO13900M13900,"Bismarck, ND MSA",764,865,986,1401,1679
METRO13980M13980,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",890,924,1130,1579,1925
METRO13980N51071,"Giles County, VA HUD Metro FMR Area",703,742,838,1130,1163
METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",719,759,857,1192,1460
METRO14010M14010,"Bloomington, IL MSA",750,852,1061,1498,1702
METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",875,1025,1203,1683,1995
METRO14020N18119,"Owen County, IN HUD Metro FMR Area",680,708,924,1271,1574
METRO14100N42037,"Columbia County, PA HUD Metro FMR Area",703,835,1000,1217,1343
METRO14100N42093,"Montour County, PA HUD Metro FMR Area",765,939,1074,1526,1546
METRO14260M14260,"Boise City, ID HUD Metro FMR Area",981,1118,1383,1944,2279
METRO14260N16045,"Gem County, ID HUD Metro FMR Area",797,851,1120,1498,1692
METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2181,2368,2838,3454,3812
METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",1334,1516,1995,2543,2900
METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",1282,1487,1918,2334,2577
METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",1428,1587,2083,2535,2798
METRO14460MM4760,"Western Rockingham County, NH HUD Metro FMR Area",1453,1462,1925,2736,3021
METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",1208,1339,1699,2211,2704
METRO14500M14500,"Boulder, CO MSA",1515,1712,2073,2756,3259
METRO14540M14540,"Bowling Green, KY HUD Metro FMR Area",798,854,1017,1273,1557
METRO14540N21003,"Allen County, KY HUD Metro FMR Area",656,660,869,1082,1301
METRO14540N21031,"Butler County, KY HUD Metro FMR Area",603,607,799,1136,1197
METRO14740M14740,"Bremerton-Silverdale, WA MSA",1294,1479,1935,2600,3128
METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",1189,1434,1778,2271,2652
METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1442,1733,2157,2749,2931
METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1893,2321,2796,3448,3756
METRO15180M15180,"Brownsville-Harlingen, TX MSA",670,745,947,1226,1383
METRO15260M15260,"Brunswick, GA MSA",870,875,1072,1448,1754
METRO15380M15380,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",929,971,1143,1400,1572
METRO15500M15500,"Burlington, NC MSA",758,888,1086,1365,1476
METRO15540M15540,"Burlington-South Burlington, VT MSA",1220,1326,1730,2123,2324
METRO15680M15680,"California-Lexington Park, MD MSA",1385,1405,1696,2303,2629
METRO15940M15940,"Canton-Massillon, OH MSA",603,685,902,1138,1212
METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",1232,1240,1576,2059,2343
METRO16020M16020,"Cape Girardeau, MO-IL MSA",642,730,936,1330,1475
METRO16060M17087,"Johnson County, IL HUD Metro FMR Area",611,690,902,1098,1233
METRO16060N17077,"Jackson County, IL HUD Metro FMR Area",616,700,922,1197,1359
METRO16060N17199,"Williamson County, IL HUD Metro FMR Area",731,735,968,1285,1608
METRO16180M16180,"Carson City, NV MSA",906,1043,1355,1926,2308
METRO16220M16220,"Casper, WY MSA",652,787,931,1323,1577
METRO16300M16300,"Cedar Rapids, IA HUD Metro FMR Area",659,748,985,1400,1678
METRO16300N19011,"Benton County, IA HUD Metro FMR Area",633,637,839,1132,1190
METRO16300N19105,"Jones County, IA HUD Metro FMR Area",561,637,839,1123,1127
METRO16540M16540,"Chambersburg-Waynesboro, PA MSA",859,864,1106,1496,1626
METRO16580M16580,"Champaign-Urbana, IL MSA",921,927,1096,1420,1472
METRO16620M16620,"Charleston, WV HUD Metro FMR Area",701,814,980,1286,1343
METRO16620M54035,"Jackson County, WV HUD Metro FMR Area",598,715,811,1151,1183
METRO16620M54043,"Lincoln County, WV HUD Metro FMR Area",607,668,823,1002,1106
METRO16620N54005,"Boone County, WV HUD Metro FMR Area",591,710,802,1136,1366
METRO16700M16700,"Charleston-North Charleston, SC MSA",1452,1484,1676,2084,2620
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",1260,1288,1455,1845,2383
METRO16740M37007,"Anson County, NC HUD Metro FMR Area",706,802,1056,1285,1419
METRO16740N37097,"Iredell County, NC HUD Metro FMR Area",992,1014,1145,1545,1950
METRO16740N37109,"Lincoln County, NC HUD Metro FMR Area",856,861,997,1294,1339
METRO16740N37159,"Rowan County, NC HUD Metro FMR Area",852,857,1043,1352,1477
METRO16740N45023,"Chester County, SC HUD Metro FMR Area",695,700,853,1212,1363
METRO16740N45057,"Lancaster County, SC HUD Metro FMR Area",735,740,974,1294,1349
METRO16820M16820,"Charlottesville, VA MSA",1258,1265,1512,1880,2330
METRO16860M16860,"Chattanooga, TN-GA MSA",991,1001,1162,1494,1763
METRO16940M16940,"Cheyenne, WY MSA",695,797,997,1417,1698
METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1259,1364,1565,1986,2361
METRO16980MM2050,"DeKalb County, IL HUD Metro FMR Area",772,890,1154,1640,1966
METRO16980MM2960,"Gary, IN HUD Metro FMR Area",723,870,1068,1311,1453
METRO16980MM3170,"Grundy County, IL HUD Metro FMR Area",905,1011,1331,1704,1788
METRO16980MM3780,"Kendall County, IL HUD Metro FMR Area",1226,1235,1625,2309,2345
METRO16980MM3800,"Kenosha County, WI HUD Metro FMR Area",815,929,1219,1586,1787
METRO16980N18073,"Jasper County, IN HUD Metro FMR Area",776,781,1028,1323,1381
METRO17020M17020,"Chico, CA MSA",959,1011,1331,1892,2267
METRO17140M17140,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",784,899,1172,1570,1764
METRO17140M18047,"Franklin County, IN HUD Metro FMR Area",666,755,994,1348,1498
METRO17140MM1220,"Brown County, OH HUD Metro FMR Area",721,726,956,1196,1352
METRO17140MM3020,"Grant County, KY HUD Metro FMR Area",640,846,955,1209,1558
METRO17140N18161,"Union County, IN HUD Metro FMR Area",661,759,986,1316,1520
METRO17300M17300,"Clarksville, TN-KY HUD Metro FMR Area",744,807,1049,1479,1787
METRO17300M47161,"Stewart County, TN HUD Metro FMR Area",566,630,802,1052,1366
METRO17420M17420,"Cleveland, TN MSA",705,754,993,1303,1407
METRO17460M17460,"Cleveland-Elyria, OH MSA",765,872,1062,1379,1457
METRO17660M17660,"Coeur d'Alene, ID MSA",894,1075,1311,1863,2233
METRO17780M17780,"College Station-Bryan, TX MSA",884,953,1080,1535,1657
METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",1095,1270,1593,2264,2713
METRO17820N08119,"Teller County, CO HUD Metro FMR Area",953,1189,1425,2025,2427
METRO17860M17860,"Columbia, MO HUD Metro FMR Area",715,830,1012,1358,1584
METRO17860M29053,"Cooper County, MO HUD Metro FMR Area",587,640,829,1109,1412
