Ranking,"Ranking Change",City,Price,M/M%,Y/Y%,Price,M/M%,Y/Y%
1,0,"New York, NY",3950,0.005,0.33899999999999997,4410,0.002,0.4
2,0,"San Francisco, CA",3100,0.02,0.107,4170,-0.006999999999999999,0.069
3,0,"Boston, MA",2890,0.059000000000000004,0.19899999999999998,3360,0.06,0.2
4,0,"San Jose, CA",2770,-0.004,0.259,3300,0.006,0.2
5,1,"San Diego, CA",2620,0.016,0.248,3420,0.049,0.262
6,-1,"Miami, FL",2510,-0.004,0.27399999999999997,3400,-0.003,0.308
7,1,"Los Angeles, CA",2470,0.008,0.17600000000000002,3330,0.012,0.14800000000000002
8,-1,"Washington, DC",2360,-0.004,0.068,3200,-0.012,0.085
9,0,"Oakland, CA",2200,0,0.1,2860,0.021,0.092
10,0,"Santa Ana, CA",2160,0,0.193,2900,0.047,0.198
11,1,"Anaheim, CA",2000,0.026000000000000002,0.099,2630,-0.026000000000000002,0.22899999999999998
11,0,"Seattle, WA",2040,0.02,0.207,2810,0,0.26
13,2,"Fort Lauderdale, FL",2000,0,0.149,2950,-0.006999999999999999,0.19
14,0,"Scottsdale, AZ",1920,0.011000000000000001,0.038,2550,0.037000000000000005,0.054000000000000006
15,-2,"Providence, RI",1880,0.044000000000000004,0.19,1930,0,0.135
16,2,"Long Beach, CA",1800,0,0.10400000000000001,2500,0.042,0.19
16,3,"Urban Honolulu, HI",1790,0.059000000000000004,0.17,2380,0.035,0.08199999999999999
16,0,"Chicago, IL",1820,-0.005,0.264,2200,0.038,0.257
19,-2,"Atlanta, GA",1760,-0.006,0.073,2280,0.027000000000000003,0.040999999999999995
20,0,"Nashville, TN",1730,-0.027999999999999997,0.22699999999999998,1810,-0.047,0.19899999999999998
21,-1,"Tampa, FL",1730,-0.039,0.22699999999999998,2030,-0.005,0.21600000000000003
22,0,"Austin, TX",1720,0.042,0.19399999999999998,2150,0.039,0.18100000000000002
23,2,"Denver, CO",1700,-0.023,0.055999999999999994,2290,-0.05,0.096
24,2,"Chandler, AZ",1660,0.051,0.145,1900,-0.021,0.038
25,-1,"Gilbert, AZ",1660,0.012,0,1820,-0.027000000000000003,-0.081
26,-3,"Orlando, FL",1640,-0.035,0.171,1970,-0.01,0.166
27,1,"Sacramento, CA",1630,-0.018000000000000002,0.14,1900,-0.01,0.061
28,7,"Henderson, NV",1570,-0.013000000000000001,0.054000000000000006,1820,0,0.077
29,0,"New Orleans, LA",1540,-0.019,0.069,1810,-0.047,0.077
29,-2,"Plano, TX",1540,0.062,0.124,2050,0,0.126
31,1,"St. Petersburg, FL",1540,-0.019,0.048,2200,0.005,0.068
32,-1,"Charlotte, NC",1500,0,0.042,1720,0.006,0.036000000000000004
32,0,"Portland, OR",1510,0.006999999999999999,0.071,1800,0,0.011000000000000001
34,4,"Fresno, CA",1480,-0.039,0.276,1720,-0.011000000000000001,0.147
35,-3,"Dallas, TX",1470,0.027999999999999997,0.057999999999999996,2040,0.02,0.085
35,-5,"Irving, TX",1470,0.057999999999999996,0.215,1900,0.05,0.111
37,0,"Chesapeake, VA",1450,0.057999999999999996,0.381,1500,0.055999999999999994,0.21
38,3,"Philadelphia, PA",1450,-0.013999999999999999,0.043,1750,-0.011000000000000001,0.028999999999999998
39,2,"Virginia Beach, VA",1440,0.028999999999999998,0.11599999999999999,1650,0.012,0.179
40,-4,"Madison, WI",1430,0.059000000000000004,0.14400000000000002,1540,0.062,0
41,9,"Boise, ID",1420,-0.021,0.028999999999999998,1600,0,0.067
41,3,"Phoenix, AZ",1420,0,0.127,1700,-0.006,0.172
43,9,"Aurora, CO",1390,0.037000000000000005,0.158,1900,0.055999999999999994,0.188
44,-5,"Durham, NC",1350,0,0.023,1580,-0.031,0.113
44,10,"Baltimore, MD",1370,0.015,0.087,1590,0.026000000000000002,0.136
44,-1,"Reno, NV",1370,0.015,0.096,1730,-0.006,0.075
44,6,"Pittsburgh, PA",1370,0.062,0.161,1520,-0.013000000000000001,0.063
44,0,"Mesa, AZ",1360,-0.006999999999999999,0.172,1650,-0.024,0.196
44,-4,"Richmond, VA",1380,0.015,0.266,1580,0.026000000000000002,0.20600000000000002
50,-4,"Newark, NJ",1350,0,0.08,1800,0.017,0.139
51,-5,"Glendale, AZ",1330,-0.015,0.177,1720,0.042,0.22899999999999998
52,-6,"Houston, TX",1330,0.015,0.147,1610,0.059000000000000004,0.08800000000000001
53,3,"Las Vegas, NV",1320,0.015,0.128,1560,-0.013000000000000001,0.099
54,1,"Salt Lake City, UT",1300,0.016,0.13,1620,-0.03,0.102
55,-9,"Norfolk, VA",1290,0.049,0.22899999999999998,1460,0.006999999999999999,0.15
56,1,"Raleigh, NC",1290,0.049,0.04,1530,-0.044000000000000004,0.085
57,4,"Cleveland, OH",1230,0.008,-0.068,1280,0.008,-0.092
57,4,"Chattanooga, TN",1240,0.016,0.08800000000000001,1350,0.031,0.055
59,-7,"Colorado Springs, CO",1200,0,0.10099999999999999,1510,-0.006999999999999999,0.071
59,0,"Columbus, OH",1210,0.017,0.235,1290,0.032,0.17300000000000001
