MSA State, median lot sqft, median price per sqft
Bridgeport-Stamford-Norwalk CT, 43560.0, $36.02
Fayetteville-Springdale-Rogers AR, 41599.8, $14.14
Poughkeepsie-Newburgh-Middletown NY, 39859.5, $13.27
Asheville NC, 38768.4, $16.26
Worcester MA-CT, 30505.0, $16.99
Hartford-East Hartford-Middletown CT, 24829.2, $15.87
Chattanooga TN-GA, 22215.6, $15.51
Knoxville TN, 22215.6, $18.39
Richmond VA, 20908.8, $16.67
Albany-Schenectady-Troy NY, 20473.2, $18.54
Nashville-Davidson--Murfreesboro--Franklin TN, 20037.6, $28.25
Atlanta-Sandy Springs-Alpharetta GA, 20037.6, $22.07
Greenville-Anderson SC, 19602.0, $20.79
Prescott Valley-Prescott AZ, 17859.6, $37.58
Allentown-Bethlehem-Easton PA-NJ, 17859.6, $22.67
New Haven-Milford CT, 16988.4, $21.32
Boston-Cambridge-Newton MA-NH, 16988.4, $49.02
Grand Rapids-Kentwood MI, 16901.3, $24.20
Rochester NY, 16552.8, $14.39
Birmingham-Hoover AL, 16117.2, $13.22
Raleigh-Cary NC, 15681.6, $34.15
Salisbury MD-DE, 14810.4, $27.63
Flint MI, 14592.6, $10.60
Charlotte-Concord-Gastonia NC-SC, 14374.8, $29.68
Daphne-Fairhope-Foley AL, 14000.0, $35.45
Beaumont-Port Arthur TX, 13939.2, $15.35
Ocala FL, 13939.2, $22.59
Huntsville AL, 13503.6, $33.08
Virginia Beach-Norfolk-Newport News VA-NC, 13503.6, $27.95
Washington-Arlington-Alexandria DC-VA-MD-WV, 13503.6, $49.73
Providence-Warwick RI-MA, 13125.0, $39.33
Green Bay WI, 13068.0, $22.15
Augusta-Richmond County GA-SC, 13068.0, $19.84
Little Rock-North Little Rock-Conway AR, 13068.0, $16.13
Pensacola-Ferry Pass-Brent FL, 12632.4, $31.09
Baton Rouge LA, 12632.4, $23.98
Tulsa OK, 12379.5, $21.10
Naples-Marco Island FL, 12196.8, $116.48
Minneapolis-St. Paul-Bloomington MN-WI, 12196.8, $37.71
Madison WI, 11325.6, $36.07
Milwaukee-Waukesha WI, 10890.0, $28.23
Memphis TN-MS-AR, 10890.0, $18.52
Baltimore-Columbia-Towson MD, 10890.0, $37.62
Philadelphia-Camden-Wilmington PA-NJ-DE-MD, 10890.0, $33.65
Kansas City MO-KS, 10478.5, $43.49
Ogden-Clearfield UT, 10454.4, $56.40
Provo-Orem UT, 10454.4, $74.19
Crestview-Fort Walton Beach-Destin FL, 10454.4, $72.38
Columbia SC, 10454.4, $27.95
Oklahoma City OK, 10402.1, $26.66
Omaha-Council Bluffs NE-IA, 10367.3, $42.09
Cincinnati OH-KY-IN, 10323.7, $32.31
Cape Coral-Fort Myers FL, 10323.7, $55.65
Palm Bay-Melbourne-Titusville FL, 10019.0, $40.17
Reno NV, 10018.8, $77.41
Punta Gorda FL, 10018.8, $41.92
Deltona-Daytona Beach-Ormond Beach FL, 10018.8, $38.42
Myrtle Beach-Conway-North Myrtle Beach SC-NC, 10018.8, $49.93
North Port-Sarasota-Bradenton FL, 10018.8, $69.76
St. Louis MO-IL, 10018.8, $19.94
Port St. Lucie FL, 10001.4, $48.37
San Diego-Chula Vista-Carlsbad CA, 9971.0, $111.15
Des Moines-West Des Moines IA, 9757.4, $39.87
Louisville/Jefferson County KY-IN, 9583.2, $28.70
Orlando-Kissimmee-Sanford FL, 9583.2, $51.61
Bakersfield CA, 9583.0, $38.87
Sioux Falls SD, 9504.0, $36.68
Indianapolis-Carmel-Anderson IN, 9430.7, $29.98
Toledo OH, 9173.7, $17.99
Salt Lake City UT, 9147.6, $79.87
Columbus OH, 9147.6, $32.35
Atlantic City-Hammonton NJ, 9000.0, $38.63
Lakeland-Winter Haven FL, 8929.8, $37.81
Austin-Round Rock-Georgetown TX, 8929.8, $69.84
Seattle-Tacoma-Bellevue WA, 8807.8, $96.74
Dayton-Kettering OH, 8712.0, $16.68
Charleston-North Charleston SC, 8712.0, $64.19
Boise City ID, 8712.0, $69.37
Sacramento-Roseville-Folsom CA, 8712.0, $74.30
Dallas-Fort Worth-Arlington TX, 8712.0, $53.41
Riverside-San Bernardino-Ontario CA, 8662.0, $68.87
