"Urban Area","2021 impact rank (2020 rank)","Hours lost in congestion (rank 2020)","Change from pre-covid","Last Mile speed (mph)"
"New York City NY","5 (3)","102 (9)",-0.27,12
"Chicago IL","6 (7)","104 (7)",-0.28,15
"Philadelphia PA","13 (5)","90 (16)",-0.37,12
"Boston MA","18 (36)","78 (28)",-0.47,15
"Miami FL","32 (60)","66 (45)",-0.19,19
"Los Angeles CA","33 (37)","62 (60)",-0.4,22
"San Francisco CA","34 (38)","64 (50)",-0.34,14
"Houston TX","42 (57)","58 (74)",-0.29,19
"New Orleans LA","49 (52)","63 (55)",-0.21,17
"Atlanta GA","59 (174)","53 (100)",-0.36,19
"Portland OR","85 (115)","48 (135)",-0.46,18
"Dallas TX","97 (63)","44 (176)",-0.31,19
"Washington DC","98 (89)","44 (177)",-0.65,14
"Stamford CT","121 (68)","46 (154)",-0.38,16
"Denver CO","133 (144)","40 (228)",-0.36,16
"Baltimore MD","158 (111)","37 (280)",-0.56,14
"Providence RI","163 (152)","38 (264)",-0.46,16
"San Diego CA","230 (290)","32 (338)",-0.54,23
"Concord CA","239 (202)","40 (230)",-,20
"Austin TX","240 (207)","32 (339)",-0.54,19
"Seattle WA","250 (130)","30 (379)",-0.59,19
"Las Vegas NV","303 (478)","28 (416)",0.76,20
"Sacramento CA","366 (331)","25 (472)",-0.62,18
"San Antonio TX","390 (390)","23 (504)",-0.4,20
"Phoenix AZ","426 (291)","21 (548)",-0.44,20
"Baton Rouge LA","428 (211)","23 (505)",-0.17,19
"Milwaukee WI","431 (458)","22 (526)",-0.52,19
"Tampa FL","440 (228)","21 (549)",-0.38,25
"Sarasota/Bradenton FL","442 (173)","28 (417)",-,19
"Eugene OR","444 (633)","24 (488)",2.96,22
"Hartford CT","457 (293)","21 (550)",-0.66,18
"Framingham MA","460 (620)","26 (457)",-0.23,23
"Lancaster PA","469 (298)","22 (527)",0.28,21
"Bridgeport CT","471 (257)","24 (489)",-,20
"Oceanside CA","473 (412)","23 (506)",0.16,23
"Minneapolis MN","491 (434)","18 (616)",-0.66,17
"Tucson AZ","492 (672)","19 (593)",-0.16,20
"Santa Cruz CA","502 (1007)","21 (551)",1.1,24
"Spokane WA","504 (793)","20 (568)",0.1,20
"Allentown PA","507 (822)","19 (594)",-0.13,21
"Pittsburgh PA","511 (966)","18 (617)",-0.5,-
"Pensacola FL","514 (781)","20 (569)",0.64,23
"Birmingham AL","525 (358)","18 (618)",-0.4,17
"Jacksonville FL","530 (296)","18 (619)",-0.48,21
"Gainesville FL","533 (463)","20 (570)",-0.35,24
"Tallahassee FL","537 (294)","19 (595)",-0.26,22
"Davis CA","538 (250)","22 (528)",-0.07,17
"Fort Myers FL","540 (522)","22 (529)",-0.13,28
